Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4
48.620513,9.045081,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.620503,9.045081,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.746684,8.952215,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.507589,8.8281793,150.0,"DC Kupplung Combo, DC CHAdeMO",150.0,0,22.0,0,0.0,0,0.0
48.5076234,8.828266,150.0,"DC Kupplung Combo, DC CHAdeMO",150.0,0,22.0,0,0.0,0,0.0
48.614545,8.903146,98.0,0,43.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
48.616422,8.908525,98.0,0,43.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
48.616312,8.908312,150.0,DC Kupplung Combo,75.0,DC Kupplung Combo,75.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.785079,9.017713,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0,0,0.0
48.7852,9.01744,93.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,43.0,0,0.0,0,0.0
48.7976969,9.0045049,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.79713,9.0060064,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.787618,9.016143,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.777416,8.932631,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.7629862,8.93189359,78.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,43.0,0,0.0,0,0.0
48.7773787,8.9362719,93.0,0,50.0,"AC Kupplung Typ 2, DC Kupplung Combo",50.0,0,44.0,0,0.0
48.812009,8.922092,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.812009,8.922092,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.812009,8.922092,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.812009,8.922092,300.0,DC Kupplung Combo,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,0,22.0,0,0.0
48.8109599173415,8.9273114514159,360.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0
48.833902,8.9134819,30.0,"AC Steckdose Typ 2, DC Kupplung Combo",22.0,0,22.0,0,0.0,0,0.0
47.797917,9.090401,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.664067,9.482701,93.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,43.0,0,0.0,0,0.0
47.6574185,9.4527901,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.652571,9.484565,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,22.0,0,0.0
47.66816,9.48808,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.658904584028,9.486602542888,156.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
47.659813,9.498216,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.663265,9.434239,82.0,0,22.0,"AC Kupplung Typ 2, DC Kupplung Combo",60.0,"AC Kupplung Typ 2, DC Kupplung Combo",60.0,0,0.0
47.664278,9.577925,150.0,0,22.0,"DC Kupplung Combo, DC CHAdeMO",75.0,0,0.0,0,0.0
47.701319,9.55902,50.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,0.0,0,0.0
47.59769371,9.5970279,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.607814,9.586966,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.607814,9.586966,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.607814,9.586966,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.607814,9.586966,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.594292,9.600967,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.60343,9.551929,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.666545,9.366595,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.7702489,9.1727179,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.774761,9.186331,160.0,0,22.0,"DC Kupplung Combo, DC CHAdeMO",75.0,0,0.0,0,0.0
47.772492,9.186771,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.802296,9.238275,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.71599863499,9.401641488075,160.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
47.7352242,9.2421401,73.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,0.0,0,0.0
47.6950605,9.2731151,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.676297,9.318793,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.69381,9.26757,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
47.925027,7.701838,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
47.917596,7.688929,72.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,22.0,0,0.0
47.921855,7.708166,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.961942,7.986999,73.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,0.0,0,0.0
48.037763,7.572311,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.88882,7.72382,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.88882,7.72382,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
47.972639,7.828139,125.0,DC Kupplung Combo,125.0,DC Kupplung Combo,125.0,0,22.0,0,0.0
47.909055,7.592565,175.0,"DC Kupplung Combo, DC CHAdeMO",175.0,0,0.0,0,0.0,0,0.0
47.909055,7.592565,175.0,"DC Kupplung Combo, DC CHAdeMO",175.0,0,0.0,0,0.0,0,0.0
47.909055,7.592565,175.0,"DC Kupplung Combo, DC CHAdeMO",175.0,0,0.0,0,0.0,0,0.0
47.909055,7.592565,175.0,"DC Kupplung Combo, DC CHAdeMO",175.0,0,0.0,0,0.0,0,0.0
47.808867,7.639707,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.808867,7.639707,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
47.810887,7.609133,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.817417,7.556417,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,22.0,0,0.0
47.81023,7.56987,75.0,0,22.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
47.81246,7.556097,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.858417,7.63964,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.923368,8.189472,73.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,0.0,0,0.0
47.91711,8.207612,39.65,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.88619,8.36104,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
47.88619,8.36104,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
47.868029,8.20577,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
47.8976,8.2744,300.0,"DC Kupplung Combo, DC CHAdeMO",150.0,"DC Kupplung Combo, DC CHAdeMO",150.0,0,0.0,0,0.0
47.89759,8.274834,175.0,"DC Kupplung Combo, DC CHAdeMO",175.0,0,0.0,0,0.0,0,0.0
47.89759,8.274834,175.0,"DC Kupplung Combo, DC CHAdeMO",175.0,0,0.0,0,0.0,0,0.0
48.553697,8.709828,46.0,DC Kupplung Combo,24.0,0,22.0,0,0.0,0,0.0
48.713117,8.7419091,73.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,0.0,0,0.0
48.705051,8.7640418,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.805337,8.444954,100.0,DC Kupplung Combo,50.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
48.805337,8.444954,100.0,DC Kupplung Combo,50.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
48.063988,7.900696,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.111542,7.851839,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.111566,7.851924,22.0,0,11.0,DC Kupplung Combo,22.0,0,0.0,0,0.0
48.224117,7.765064,75.0,0,22.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.218425,7.76041,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.22685,7.75509,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.22685,7.75509,300.0,DC Kupplung Combo,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,0,0.0,0,0.0
48.22685,7.75509,300.0,DC Kupplung Combo,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,0,0.0,0,0.0
48.156968,7.745885,73.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,22.0,0,0.0,0,0.0
48.15667,7.74495,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.15671,7.74496,300.0,"DC Kupplung Combo, DC CHAdeMO",300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.824218096451,8.86946547038,160.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.817809,8.863332,39.65,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.966043,8.603242,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.908062,8.773745,98.0,0,43.0,DC Kupplung Combo,50.0,0,0.0,0,0.0
48.907993,8.77373,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.862687,8.568358,22.0,0,11.0,DC Kupplung Combo,22.0,0,0.0,0,0.0
48.862758,8.56894,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.942722,8.8134376,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.9521,8.8437,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.9401,8.8388,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.94471,8.843744,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.5601,8.48165,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
48.5601,8.48165,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
48.953036,8.85131,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.995957,8.798411,39.65,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
49.021186,8.7499341,93.0,0,50.0,"AC Kupplung Typ 2, DC Kupplung Combo",44.0,0,50.0,0,0.0
48.892153,8.854512,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.871832,8.80115,150.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.871832,8.80115,300.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.7015412,9.14325110000004,20.0,"AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO",20.0,0,0.0,0,0.0,0,0.0
48.695833,9.168611,125.0,DC Kupplung Combo,125.0,DC Kupplung Combo,125.0,0,22.0,0,0.0
48.674404,9.167367,50.0,0,11.0,DC Kupplung Combo,22.0,0,0.0,0,0.0
48.674404,9.167372,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.678909,9.1927411,98.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.6772849356192,9.19576206811528,156.0,DC Kupplung Combo,150.0,DC Kupplung Combo,150.0,0,0.0,0,0.0
48.6784098,9.1932634,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
48.6784098,9.1932634,360.0,DC Kupplung Combo,180.0,DC Kupplung Combo,180.0,0,0.0,0,0.0
48.677326,9.195356,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.628406,9.33426,150.0,DC Kupplung Combo,50.0,0,22.0,0,0.0,0,0.0
48.6364154988377,9.34605122174084,320.0,DC Kupplung Combo,300.0,DC Kupplung Combo,300.0,0,0.0,0,0.0
48.637378,9.3419,39.65,0,11.0,DC Kupplung Combo,22.0,0,0.0,0,0.0
48.63354,9.233698,20.0,"AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO",20.0,0,0.0,0,0.0,0,0.0
48.65199,9.29369,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.591285,9.236877,93.0,0,43.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0
48.584895,9.228372,39.6,DC Kupplung Combo,22.0,0,11.0,0,0.0,0,0.0
48.59763,9.27426,22.0,DC Kupplung Combo,22.0,0,0.0,0,0.0,0,0.0
47.60193,9.59054,72.0,0,22.0,DC Kupplung Combo,50.0,0,50.0,0,0.0
48.702885,9.438678,93.0,"DC Kupplung Combo, DC CHAdeMO",50.0,0,43.0,0,0.0,0,0.0
48.6526198,9.4598491,50.0,"AC Steckdose Typ 2, DC Kupplung Combo, DC CHAdeMO",50.0,0,0.0,0,0.0,0,0.0
