Latitude,Longitude,Max_power
49.065933,8.475947,22.0
49.066231,8.470181,22.0
49.102815,8.48076,22.0
49.08039,8.46168,22.0
49.06179,8.465962,11.0
49.09185,8.42848,22.0
49.090452,8.430074,22.0
49.1297,8.4192,22.0
49.1315,8.4211,22.0
49.140696,8.40907,22.0
49.119452,8.410005,22.0
49.137069,8.426375,50.0
49.1295047,8.417252,150.0
49.132202,8.428375,22.0
49.045014,8.526036,50.0
49.1200403,8.5726398,22.0
49.1378028718973,8.59375834265019,11.0
49.124781,8.58466,22.0
49.13763,8.59114,11.0
49.12359347,8.59774775,22.0
49.12339161,8.6007553,22.0
49.12389336,8.59817312,11.0
49.123303,8.601246,22.0
49.126519,8.594346,22.0
49.100332,8.644936,22.0
49.088775,8.547441,22.0
49.125035,8.593608,22.0
49.116932,8.59103,22.0
49.124218,8.588072,22.0
49.134853,8.589586,22.0
49.099463,8.527396,22.0
49.076839,8.586869,22.0
49.129422,8.589817,22.0
49.123634,8.597425,22.0
49.123813,8.600682,22.0
49.120037,8.574466,22.0
49.128594,8.60122,22.0
49.110596,8.568308,22.0
49.128604,8.601133,22.0
49.13776,8.56103,300.0
49.1205609,8.58196,50.0
49.13713,8.59276,11.0
49.136956,8.594611,22.0
49.1246102,8.5966755,22.0
49.096169,8.642018,50.0
49.235267,8.454193,22.0
49.219549,8.647401,22.0
49.201953,8.645842,22.0
49.220512,8.65933,22.0
49.201504,8.653505,22.0
49.203821,8.640141,22.0
49.225024,8.654368,50.0
49.220912,8.652,22.0
49.20115,8.63855,22.0
49.1646,8.4919,150.0
49.215444,8.69608,22.0
49.219382,8.710456,22.0
49.104615,8.444182,22.0
49.215172,8.697531,50.0
49.147424,8.547105,22.0
49.127795,8.520969,22.0
49.153369,8.579444,22.0
49.155958,8.577806,22.0
49.153004,8.58707,22.0
49.160998,8.567015,50.0
49.162905,8.570877,50.0
49.162909,8.570962,150.0
49.1609927,8.567019,150.0
49.162694,8.570788,350.0
49.16125,8.567226,350.0
49.1595291365357,8.578482976632,11.0
49.173932,8.6661064,11.0
49.172467,8.624206,22.0
49.158327,8.63048,22.0
49.176728,8.673517,22.0
49.178772,8.622183,22.0
49.182284,8.645097,22.0
49.171352,8.616869,150.0
49.109589,8.743333,22.0
49.105982,8.745112,22.0
49.125062,8.715917,22.0
49.12502,8.715892,22.0
49.143217,8.66888,22.0
49.161668,8.418081,22.0
49.158815,8.410095,22.0
49.183362,8.423639,22.0
49.1833725,8.4235035,22.0
49.18603,8.545773,22.0
49.188604,8.53884,22.0
49.219392,8.634428,22.0
49.219623,8.636454,22.0
49.216133,8.636271,22.0
49.216091,8.636213,22.0
49.041859,9.090844,22.0
49.03731,9.150486,22.0
