Latitude,Longitude
49.1614594,9.5849834
52.1431901,8.6132441
52.4759417,9.6676366
52.4578862,10.5775318
49.0592894,8.4156907
49.9612378,9.1137388
49.9619773,9.1135515
49.9627429,9.1134354
49.9602758,9.1139458
52.4074178,9.5934991
51.3152729,12.320381
49.9294212,11.4702461
51.7290017,10.2504589
49.4477264,8.6901658
49.4661464,11.3208887
52.2497479,8.8997958
50.2305883,8.7733682
52.1309305,11.6350859
52.1294675,11.6287831
49.3038603,8.648954
49.4201431,11.2252737
49.6573956,9.0195754
50.088016,9.1603385
52.1001767,13.1804759
52.0365785,8.8352489
49.9778623,9.1408587
49.4436254,8.6706107
49.4425555,8.6690983
49.9793075,9.1505147
51.9743992,10.224745
49.3909631,8.7016171
49.4064795,8.691822
52.1414657,12.5824457
51.8645455,12.6527259
49.6806555,8.6201027
49.0829443,9.1818107
50.9484945,11.5991103
49.1408227,8.6077439
50.0749519,8.9626011
49.0180645,8.5703529
50.4302972,12.0883539
51.9190804,8.8932958
50.0878204,8.9821613
50.318042,11.563524
50.396568,11.5096
49.4040432,8.6789769
50.037364,8.6032272
50.4249894,11.5968851
49.8414132,8.6842858
49.8410662,8.6837822
49.3762186,10.2200321
50.0785277,8.9360488
50.0661404,8.9709957
49.5648312,11.3603626
49.5595343,11.3663479
51.8132712,12.2258941
49.2645271,8.6298565
49.3609376,9.0227327
49.5568534,8.8124329
51.844584,12.3663755
50.1054143,8.6963844
50.3610383,11.5680865
51.0137003,13.1627657
52.083278,8.7498593
52.1379477,12.5873549
49.6283415,11.2210448
49.6030246,11.2337792
50.1060004,8.7605532
50.1057409,8.7634523
49.8154108,11.2169697
49.2189348,8.6632226
52.0841423,8.7460309
49.3402129,9.2252918
49.2065862,10.1453414
50.183591,8.4688546
51.3065681,9.5014197
50.939503,10.7004859
49.1620727,8.6325394
50.2835782,8.5704959
52.3560471,9.5816655
49.8496376,9.8369213
49.7657222,8.995194
49.3991416,8.9907737
50.0783253,8.4630011
50.0410377,10.5719391
49.320014,12.7058157
49.8058159,11.2494427
49.7783457,11.2943021
49.7883138,11.2793038
49.9612738,9.1253415
49.7541142,9.8490152
52.3071581,9.6003771
52.3818992,9.8356907
50.0798045,8.4536609
50.0795375,8.4507848
52.5050437,13.1626312
50.8009151,10.3037536
49.4136238,8.6925384
51.452741,9.6296297
49.3947754,9.0678261
49.4834393,8.471892
52.0850093,8.7254479
49.3128701,10.6810081
49.4630794,8.9836117
50.052299,10.4942376
49.7601283,9.5207502
49.7584316,9.5178253
49.2592249,8.629687
49.7598035,9.8540174
50.2291755,8.6284448
52.354372,9.6339402
49.3238832,9.070023
52.3433986,9.6157314
51.8381191,12.2370403
49.8736955,9.8779969
49.8740061,9.8644122
51.3960428,8.5666008
52.4321295,9.3919706
49.3693022,9.0220692
49.3214784,9.0658884
49.3209123,9.0671253
49.3205645,9.0723309
49.6162081,9.6723861
49.1710984,9.1109205
49.3922119,9.0841316
52.4139672,8.7058233
51.5598076,9.6085393
52.3243868,10.2250252
49.2592289,8.7148962
50.9463381,10.4320907
49.403107,8.6292805
49.3611562,9.0486608
49.9882644,8.4737944
51.4147222,9.6527364
49.0992044,8.5333342
52.0043856,11.724634
49.453509,11.0796197
52.35681,9.768751
49.3654033,9.0220305
50.7160716,12.93789
52.44448,9.8473035
49.2573148,8.7198505
49.258421,8.7156073
49.9857454,8.6404766
50.9276819,11.5856087
52.3068367,13.2499161
50.7998672,10.2972586
50.799534,10.2977445
52.4093819,9.6286047
49.2439247,11.1314103
52.0971467,9.6359535
51.8364917,8.9325712
49.3268705,11.3097338
50.8543928,12.7457174
50.4961149,11.228269
52.453803,9.6309519
50.7853322,12.5582731
49.6686235,10.8794468
50.2022677,8.5754421
49.8258402,8.6926566
49.8241674,8.6933266
49.4723064,10.93127
49.4797802,8.4881936
49.8699577,8.6804069
49.3182838,8.4353327
50.5960698,10.7192833
51.4405256,11.9592997
49.4715344,8.6543973
50.4255384,8.9307644
50.4208524,8.9381288
51.6249048,12.2696898
52.5043151,13.340207
50.0960315,10.8093841
50.0960055,10.8086861
49.3913056,9.0704441
50.6648095,10.366785
50.1016526,10.7905695
52.1661434,9.7868236
51.1979215,8.7036589
49.0413327,11.3802565
50.2850574,8.4871712
51.8239398,10.3601282
52.1142623,9.6257545
49.7104807,8.6371791
49.1907264,13.0557391
51.8217325,11.2826899
51.822373,11.2858558
50.8783848,9.7235786
52.326429,13.0369964
51.7286529,11.1191877
52.1095059,11.6311107
51.2545563,8.9400018
52.5107083,13.345216
49.5012348,11.4148465
49.1086873,10.6184772
49.4520692,10.826622
49.2116515,9.5322391
49.176462,9.4010134
49.5076826,11.0590176
49.2690489,10.9732193
51.3908057,10.3170877
49.4064958,8.6846006
49.9511828,8.4738944
52.3076382,8.8205329
52.1629534,10.8982325
49.6490831,9.0638569
49.6809956,10.2852741
52.4456046,10.0016769
51.3237182,12.5719314
50.0692254,10.3124456
49.7043056,10.1387811
50.2106168,8.5597357
52.3205665,10.2267134
50.155179,9.2241727
50.5544232,9.6720522
52.0947087,11.6626107
51.4033304,8.7658872
49.4513662,8.6751094
49.4607053,10.9333529
50.0322329,12.1835808
52.1296278,11.6313573
51.4351346,13.218417
50.9506335,11.0402035
52.4408386,9.6314543
52.2479421,10.7546908
52.3192126,10.233917
50.6841299,9.9260526
52.2457711,10.816579
49.0415473,11.3790488
49.4644684,10.9255918
50.2954783,8.4782515
49.395406,9.0078741
52.4185449,9.5888084
49.8906387,10.8882242
49.1545969,9.3696144
50.0711766,8.6692649
52.2088066,10.8038577
49.3375255,10.7884516
51.5525142,8.5588218
52.4559907,9.5477825
49.0675323,10.53081
49.0676792,10.52817
49.4641311,10.9344061
49.8947247,10.8887846
49.3157286,11.0849533
52.4739401,9.7559296
49.2501277,10.4771339
52.2615557,9.0508281
50.9813234,10.3622012
52.1652825,10.8824595
50.9269879,11.5823995
49.951524,8.4576945
52.261228,9.0433929
50.636704,9.3959369
49.3597559,8.8114328
49.8016131,9.9441499
50.2921827,8.4725745
49.8015801,9.9434954
50.6049834,9.3910789
52.465069,13.3256962
49.0314758,12.2082715
50.0311859,10.513114
50.2842653,8.4782217
50.2826693,8.4720591
50.7395159,8.6305497
50.7158266,12.7700254
49.3166969,8.5766891
52.0992802,11.5745327
49.4963572,9.313531
50.6406943,9.3975591
49.7977123,9.9353877
51.9002829,9.1026858
50.7081633,12.7772935
49.8608276,8.5409296
49.4666602,8.7358889
49.7988778,9.939826
52.3571988,9.2831603
49.9254218,9.947794
49.1459845,9.2206664
52.1985265,10.7605508
52.1211108,10.5933831
49.1737016,12.1164133
51.9152104,9.1496629
51.9149306,9.1492549
49.4062631,11.5166453
49.2763762,12.2752665
50.5796838,9.3625294
49.3683109,12.1523106
49.570614,12.1221838
49.5711801,12.1234735
51.7435134,10.2291237
51.7432775,10.229702
50.0431406,11.486638
50.0430663,11.4864534
49.5729283,9.3541609
52.1046226,10.0346519
49.2541837,12.3629781
49.253504,12.3603867
49.4693098,8.7505224
51.1676199,8.485755
51.7753846,9.3798051
49.404912,8.8416647
52.3044471,11.0014453
52.3758526,9.7385781
50.7303253,8.8544668
52.2536935,9.0582999
52.2546718,9.0553093
49.026059,11.9911404
50.2181335,11.3907978
49.4497186,8.6912225
50.1402217,11.9281641
50.902857,10.4373067
49.2226183,11.645448
49.5600594,8.4903509
49.3075075,10.9114497
50.1046852,10.7191668
51.281624,12.4597323
49.5606001,8.5832339
52.1326507,11.6378911
52.2741941,10.6150025
49.4227226,11.2123096
49.4364627,11.239888
49.5603648,9.7062946
49.0667617,12.0899449
51.073506,10.377497
49.4117232,8.8276296
49.0710193,9.7698564
49.510526,11.2578924
49.4931997,9.8167669
49.4932481,9.8167373
51.5555631,11.397655
49.2079495,12.0326982
49.3153985,10.6879164
51.7299484,10.5915575
51.7414058,10.5195881
51.1054454,11.9583732
49.753417,8.6981693
49.1839906,9.7020884
51.4964013,9.4743566
50.078162,10.2016256
52.117582,11.6399776
50.8263043,8.774277
52.3682228,8.9263412
51.4509988,11.9432048
52.3655287,9.9737628
52.3536566,9.3972061
49.3891356,9.1794309
49.7929752,9.9240121
50.6474551,8.6717688
50.1381403,8.6541051
52.4305683,9.4294964
52.3583307,9.7427321
52.355565,9.7450825
52.351749,9.7481491
50.3532305,8.7653403
51.9511497,9.0987085
49.1329041,9.7513227
52.0031435,13.0545161
51.86467,9.0962077
50.5192291,12.382346
50.7877348,10.2086763
50.633368,9.9246322
51.3367932,12.372476
49.9435299,11.0256736
52.4189907,10.7839068
49.9037078,10.9517762
49.4193735,8.4885909
49.6809372,9.7793886
49.2727083,9.3514127
49.1971949,9.3497023
50.403529,8.7853878
52.4189219,10.785417
49.6824061,11.4101972
50.0526787,10.2983306
50.9719569,11.0320812
52.37498,9.7429261
49.9903862,8.6462345
49.0866391,13.2435853
49.8183796,9.8789388
49.8336483,9.8993199
49.8242107,9.8811185
52.2467906,10.7973348
49.3319649,12.1021357
50.5968119,12.3319227
49.8773977,8.6468832
49.8704141,8.6747897
49.8244022,9.8736075
49.8251286,9.8721161
49.5922267,11.0042313
50.3563092,9.5247097
51.9120756,9.1597891
49.8106248,8.5066932
51.563381,12.342702
50.9026394,12.899421
49.8616589,8.6218693
50.6823097,8.6746769
52.3764595,9.7392317
51.6552573,8.6959683
50.3475712,9.5232738
52.2639577,10.5192304
