Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Max_socket_power,Max_power
48.483158,9.985855,22.0,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,0,0,0,0,11,11.0
48.464484,9.760458,22.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.498819,10.029118,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.51626,9.759398,300.0,"DC Kupplung Combo, DC CHAdeMO",300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.51626,9.759398,300.0,"DC Kupplung Combo, DC CHAdeMO",300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.5146107759757,9.75830498674799,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.5164986580231,9.75877542391506,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.542435,10.02037,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.515922,10.172538,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.280578,9.977956,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.2995,9.99078,93.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.30245,9.979794,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.299732,10.000902,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.552305,9.996752,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.51919,9.954191,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.233968,9.644065,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.29141,9.71978,22.0,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,11,11.0
48.2836121892868,9.74117048469008,22.0,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,22,22.0
48.309956,9.613892,22.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.283056,9.70439,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.283966,9.729368,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.2820523,9.7123272,98.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.2838257,9.7303316,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.284112,9.720718,93.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.271857,9.730151,50.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,22,22.0
48.271857,9.730151,50.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,22,22.0
48.282985849653,9.722937941551,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.2829394427139,9.72287893295288,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.262532,9.735061,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.253882,9.583864,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.282088,9.710444,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.666271,9.635715,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.236181,9.65134,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.36996,9.73219,22.0,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,0,0,0,0,22,22.0
48.364831,9.7117115,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.37562,9.73393,93.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.301852,9.832413,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.1861,9.69115,93.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.2323649,9.6840137,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.238221,9.607655,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.204579,9.689108,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.204572,9.689049,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.09543,9.7922,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.09543,9.7922,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.09543,9.7922,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.09543,9.7922,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.09543,9.7922,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.091663,9.802962,44.0,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,0,0,0,0,22,22.0
48.091656,9.8028755,44.0,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,0,0,0,0,22,22.0
48.100803,9.770889,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.085908,9.798514,44.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.100104,9.790221,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.074218,9.822431,73.0,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,0,0,0,0,50,50.0
48.1019121,9.7913824,73.0,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,0,0,0,0,50,50.0
48.101806,9.791472,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.1014959,9.7917428,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.094534,9.793076,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.094534,9.793076,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.1107227,9.7784875,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,22,22.0
